Company_ID,total_transactions,total_quantity,avg_quantity,total_spend,avg_order_value,unique_products,last_purchase_date,first_purchase_date,recency_days,tenure_days,txn_per_30days,Company_Name,Company_Profit,Company_Profit_Log,City,Top_Product,purchase_label
59,9,69.0,7.666666666666667,6525397.118849343,815674.6398561678,8,2024-05-09,2021-01-07,172,1390,0.1942446043165467,Elite  Associates  59,49874.0,10.817275154192163,Davao City,InsightMax Insights Platform,0
60,15,170.0,11.333333333333334,19246321.122915614,1283088.0748610413,11,2024-07-27,2021-01-28,93,1369,0.3287070854638422,Global Ventures 60,113443.0,11.639064602075193,parañaque,SalesSync Optimizer,0
61,21,229.0,10.904761904761903,30311320.11173189,1443396.1957967568,13,2024-09-05,2020-12-01,53,1427,0.4414856341976173,Global Solutions 61,70821.0,11.167924965877134,Pasig,MarketMinder Analytics,0
62,26,301.0,11.576923076923077,36130464.82597264,1389633.262537409,15,2023-12-24,2020-11-24,309,1434,0.5439330543933055,Quantum Solutions 62,90582.0,11.41402183645577,Baguio,SegmentX Targeting,0
63,25,277.0,11.08,32011703.081125554,1280468.1232450225,15,2024-06-23,2020-12-09,127,1419,0.5285412262156448,Tech Corp 63,52787.0,10.87403917113672,pasig,Product 9,0
64,15,132.0,8.8,18656059.74926736,1243737.316617824,11,2024-08-19,2020-11-12,70,1446,0.3112033195020747,Sky Consulting 64,94703.0,11.458511516930509,Mandaluyong,DashSync Analytics Hub,0
65,22,270.0,12.272727272727272,39618093.55902835,1800822.4345012887,16,2024-09-29,2020-12-17,29,1411,0.4677533664068037,Tech Associates 65,51705.0,10.853329107921365,parañaque,RealTime Revenue,1
66,13,164.0,12.615384615384617,24110114.521833666,1854624.1939872052,9,2024-05-09,2021-01-06,172,1391,0.2803738317757009,Sky Ent.s 66,99381.0,11.506726289727409,Parañaque,DataBridge Integration Tool,0
67,28,210.0,7.5,31090618.906668987,1110379.2466667497,15,2024-10-02,2020-10-31,26,1458,0.5761316872427983,Quantum Associates 67,74653.0,11.220619384920948,Manila,RevenueVue Dashboard,1
68,19,206.0,10.842105263157896,28455278.602056973,1497646.2422135249,12,2024-08-17,2021-01-10,72,1387,0.410958904109589,Innovative  Solutions  68,112018.0,11.626423778746652,taguig,OptiFlow Automation,0
69,17,193.0,11.352941176470589,26430810.845433384,1554753.5791431402,13,2024-08-09,2020-11-24,80,1434,0.3556485355648536,Global Solutions 69,116217.0,11.663223016738984,Quezon City,OptiFlow Automation,0
70,20,224.0,11.2,28586122.273321822,1504532.7512274643,12,2024-07-13,2020-12-16,107,1412,0.4249291784702549,Prime Network 70,62252.0,11.038962005936805,Baguio,NexGen Segmentator,0
71,20,229.0,11.45,29835726.98604219,1570301.4203180105,11,2024-07-21,2021-01-27,99,1370,0.437956204379562,Prime Associates 71,103332.0,11.545712061981565,Parañaque,EcoNomix Modeler,0
72,12,163.0,13.583333333333334,26687248.4966658,2223937.37472215,9,2024-03-26,2020-11-29,216,1429,0.251924422673198,Global Corp 72,102799.0,11.540540632003202,Cebu City,MarketMinder Analytics,0
73,18,168.0,9.333333333333334,23960796.853063677,1331155.3807257598,13,2024-08-21,2020-10-30,68,1459,0.3701165181631254,Dynamic  Ventures  73,92185.0,11.431563554197458,Cebu City,InsightMax Insights Platform,0
74,12,164.0,13.666666666666666,17461588.79762187,1455132.3998018224,8,2024-06-02,2021-03-27,148,1311,0.2745995423340961,,,,,TrendWise Forecaster,0
75,24,259.0,10.791666666666666,34296134.51509362,1429005.6047955677,13,2024-10-14,2020-11-28,14,1430,0.5034965034965035,Green Industries 75,71538.0,11.177998034521297,parañaque,SalesSync Optimizer,1
76,18,208.0,11.555555555555555,31408030.41487217,1744890.5786040092,13,2024-10-15,2021-04-20,13,1287,0.4195804195804196,Tech Ventures 76,74653.0,11.220619384920948,Cebu City,FinSphere Intelligence Suite,1
77,20,186.0,9.3,28162482.317640156,1408124.115882008,11,2024-10-24,2020-10-30,4,1459,0.411240575736806,Prime Consulting 77,110398.0,11.611856354813094,Manila,RevenueVue Dashboard,1
78,21,228.0,10.857142857142858,31107302.605927363,1481300.124091779,13,2024-04-23,2021-01-03,188,1394,0.4519368723098995,Innovative Partners 78,71232.0,11.173711473170998,Pasig,CustomerScope Insights,0
79,14,140.0,10.0,18677996.339591034,1334142.595685074,9,2024-09-28,2021-06-25,30,1221,0.3439803439803439,Sky Ventures 79,83106.0,11.327884213156308,Parañaque,EcoNomix Modeler,1
80,26,294.0,11.307692307692308,39106068.42173938,1504079.5546822837,17,2024-02-08,2021-01-01,263,1396,0.5587392550143266,Green  Partners  80,111227.0,11.619337427663831,Manila,FinPredictor Suite,0
81,22,248.0,11.272727272727272,35086923.9391301,1594860.179051368,14,2024-09-21,2020-11-04,37,1454,0.4539202200825309,Elite Enterprises 81,83079.0,11.327559277990048,Taguig,RealTime Revenue,0
82,17,183.0,10.764705882352942,25093541.264134903,1476090.662596171,10,2024-09-19,2021-01-22,39,1375,0.3709090909090909,Prime Industries 82,55028.0,10.91561559798246,Pasig,RealTime Revenue,0
83,18,206.0,11.444444444444445,29047200.0,1613733.3333333333,12,2024-08-13,2021-03-17,76,1321,0.408781226343679,Tech  Enterprises  83,72135.0,11.186308505179742,Baguio,FinSphere Intelligence Suite,0
84,18,219.0,12.166666666666666,30385382.613865077,1688076.8118813932,11,2024-08-15,2021-04-06,74,1301,0.415065334358186,Green  Solutions  84,74653.0,11.220619384920948,Taguig,MarketMinder Analytics,0
85,23,247.0,10.73913043478261,36190427.18883894,1573496.834297345,13,2024-01-30,2020-11-24,272,1434,0.4811715481171548,Green Ventures 85,113470.0,11.63930257664829,Cebu City,FinPredictor Suite,0
86,23,254.0,11.043478260869565,32262449.753649432,1402715.20668041,12,2024-04-14,2021-02-09,197,1357,0.5084745762711864,Pioneer Solutions 86,50910.0,10.837834289209852,Baguio,CustomerScope Insights,0
87,24,254.0,10.583333333333334,35901071.67147319,1495877.9863113828,12,2024-10-23,2021-01-23,5,1374,0.5240174672489083,Tech  Ventures  87,37141.0,10.522503683752998,Quezon City,OptiFlow Automation,1
88,15,174.0,11.6,26417545.942166593,1761169.729477773,12,2024-09-11,2020-12-30,47,1398,0.3218884120171674,Elite Consulting 88,75950.0,11.237843674494188,Taguig,FinSphere Intelligence Suite,0
89,18,200.0,11.11111111111111,27087644.7152625,1504869.1508479165,13,2024-09-09,2020-11-04,49,1454,0.3713892709766162,Global Solutions 89,74653.0,11.220619384920948,taguig,BudgetMaster Pro,0
90,17,150.0,8.823529411764707,22218139.696709946,1306949.3939241143,11,2024-05-27,2021-01-22,154,1375,0.3709090909090909,Prime Holdings 90,46225.0,10.741297689336635,Parañaque,Product 9,0
91,21,201.0,9.571428571428571,26670116.955092862,1333505.8477546433,15,2024-08-10,2021-03-20,79,1318,0.4779969650986343,Tech Industries 91,117123.0,11.670988481617403,Mandaluyong,DashSync Analytics Hub,0
92,19,216.0,11.36842105263158,30671901.796439175,1614310.6208652195,12,2024-07-05,2020-11-04,115,1454,0.3920220082530949,Innovative  Corp  92,62959.0,11.050254883091284,baguio,TrendWise Forecaster,0
93,15,186.0,12.4,22568461.952947672,1504564.1301965115,9,2024-06-08,2021-02-23,142,1343,0.3350707371556217,Innovative Holdings 93,79192.0,11.279643190058051,Davao City,EcoNomix Modeler,0
94,19,226.0,11.894736842105264,31445842.843600176,1655044.360189483,12,2024-06-22,2020-12-12,128,1416,0.4025423728813559,Pioneer Associates 94,109711.0,11.605614029524146,Cebu City,TrendWise Forecaster,0
95,17,143.0,8.411764705882353,18803070.941948462,1106062.9965852036,11,2024-08-03,2021-02-15,86,1351,0.3774981495188749,Green Network 95,40051.0,10.597933888827692,Pasig,RevenueVue Dashboard,0
96,21,222.0,10.571428571428571,28894234.135220382,1375915.9112009709,16,2024-09-04,2020-11-16,54,1442,0.4368932038834951,Dynamic  Network  96,101428.0,11.527114325305371,Cebu City,TrendWise Forecaster,0
97,11,135.0,12.272727272727272,19089498.807672683,1735408.9825156983,9,2024-09-11,2021-05-17,47,1260,0.2619047619047619,Quantum Holdings 97,33449.0,10.417807065556374,Manila,RealTime Revenue,0
98,18,176.0,9.77777777777778,23544205.93483387,1308011.4408241038,12,2024-09-16,2020-11-05,42,1453,0.3716448726772196,Pioneer Ventures 98,71095.0,11.17178635541831,Taguig,ForecastXcelerator ,0
99,15,174.0,11.6,19844015.282452308,1322934.352163487,9,2024-09-27,2021-04-26,31,1281,0.351288056206089,,,,,CustomerScope Insights,0
100,18,194.0,10.77777777777778,24963972.51043186,1386887.3616906588,12,2024-10-16,2021-01-20,12,1377,0.392156862745098,Global Solutions 100,74653.0,11.220619384920948,taguig,BudgetMaster Pro,1
