year_month,monthly_sales,txn_count,total_quantity,unique_products,avg_unit_price,year,month,quarter,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_6,sales_roll_mean_3,sales_roll_mean_6,sales_roll_std_3
2022-12-01,47239034.787932694,37,344.0,13,136216.11251397445,2022,12,4,52470897.10504534,70851526.2009369,55922086.48162657,59451293.316964686,59748169.92920294,56234701.0379183,9769394.423455682
2023-01-01,44677463.65156088,37,367.0,17,124665.87855701314,2023,1,1,47239034.787932694,52470897.10504534,70851526.2009369,52382298.01083478,56853819.364638306,54199324.61641297,12401408.925300619
2023-02-01,65033226.1071986,37,454.0,17,139286.90191989092,2023,2,1,44677463.65156088,47239034.787932694,52470897.10504534,46330105.11210152,48129131.84817964,52915185.556533985,3972229.327590243
2023-03-01,53419042.43434991,29,394.0,16,138536.90903940744,2023,3,1,65033226.1071986,44677463.65156088,47239034.787932694,55922086.48162657,52316574.84889739,56032372.38905016,11087169.435460681
2023-04-01,55577276.99137568,29,401.0,16,137195.67843199594,2023,4,2,53419042.43434991,65033226.1071986,44677463.65156088,70851526.2009369,54376577.39770313,55615198.38117072,10211607.179681377
2023-05-01,68564778.37862259,40,534.0,17,137378.77811716928,2023,5,2,55577276.99137568,53419042.43434991,65033226.1071986,52470897.10504534,58009848.51097473,53069490.179577194,6177407.93093181
2023-06-01,59230211.30798754,36,464.0,17,129965.69643381643,2023,6,2,68564778.37862259,55577276.99137568,53419042.43434991,47239034.787932694,59187032.60144939,55751803.72517339,8192745.632372089
2023-07-01,59325543.1006556,38,462.0,18,128083.82124208838,2023,7,3,59230211.30798754,68564778.37862259,55577276.99137568,44677463.65156088,61124088.89266193,57750333.14518253,6697677.007756772
2023-08-01,67133786.76491185,37,472.0,16,141011.38370182266,2023,8,3,59325543.1006556,59230211.30798754,68564778.37862259,65033226.1071986,62373510.92908857,60191679.72003165,5362006.761597501
2023-09-01,54714919.34452881,27,400.0,17,136414.5740024255,2023,9,3,67133786.76491185,59325543.1006556,59230211.30798754,53419042.43434991,61896513.72451833,60541773.16298386,4535861.959142644
2023-10-01,52453688.00044553,29,385.0,15,139750.32159065158,2023,10,4,54714919.34452881,67133786.76491185,59325543.1006556,55577276.99137568,60391416.40336541,60757752.64801368,6277669.266880382
2023-11-01,59113417.34712998,36,444.0,19,136133.49579969668,2023,11,4,52453688.00044553,54714919.34452881,67133786.76491185,68564778.37862259,58100798.03662872,60237154.48285866,7904078.429635753
2023-12-01,73054489.92913856,40,510.0,18,141063.60789493585,2023,12,4,59113417.34712998,52453688.00044553,54714919.34452881,59230211.30798754,55427341.56403477,58661927.64427655,3386540.684371983
2024-01-01,63112672.80561796,41,494.0,17,128011.65195482757,2024,1,1,73054489.92913856,59113417.34712998,52453688.00044553,59325543.1006556,61540531.758904696,60965974.08113506,10512679.168613177
2024-02-01,36942641.28037523,25,262.0,15,137797.4704033288,2024,2,1,63112672.80561796,73054489.92913856,59113417.34712998,67133786.76491185,65093526.693962164,61597162.36529545,7178524.415186832
2024-03-01,67491705.06580363,37,485.0,16,136998.0052341069,2024,3,1,36942641.28037523,63112672.80561796,73054489.92913856,54714919.34452881,57703268.005043924,56565304.78453934,18653756.95215718
2024-04-01,34372097.81619052,21,256.0,15,134739.2894903903,2024,4,2,67491705.06580363,36942641.28037523,63112672.80561796,52453688.00044553,55849006.38393227,58694769.07141849,16519139.261949645
2024-05-01,52954740.57927646,31,397.0,18,141395.02670786917,2024,5,2,34372097.81619052,67491705.06580363,36942641.28037523,59113417.34712998,46268814.72078979,55681170.70737598,18424446.514690127
2024-06-01,64273013.087767474,40,473.0,18,139245.09277798884,2024,6,2,52954740.57927646,34372097.81619052,67491705.06580363,73054489.92913856,51606181.153756864,54654724.57940039,16600935.379829496
2024-07-01,44198880.060138926,25,327.0,13,135158.7543254971,2024,7,3,64273013.087767474,52954740.57927646,34372097.81619052,63112672.80561796,50533283.82774482,53191145.105838545,15096813.343191328
2024-08-01,44404149.46650953,31,360.0,18,126499.0358950625,2024,8,3,44198880.060138926,64273013.087767474,52954740.57927646,36942641.28037523,53808877.909060955,50038846.31492537,10064286.717712803
2024-09-01,53946625.24991471,29,382.0,19,137759.25982521038,2024,9,3,44404149.46650953,44198880.060138926,64273013.087767474,67491705.06580363,50958680.87147197,51282431.01261442,11531006.706125494
2024-10-01,35326608.078281835,23,298.0,15,119387.6781100326,2024,10,4,53946625.24991471,44404149.46650953,44198880.060138926,34372097.81619052,47516551.592187725,49024917.70996627,5569552.882875251
