Company_ID,total_transactions,total_quantity,avg_quantity,total_spend,avg_order_value,unique_products,last_purchase_date,first_purchase_date,recency_days,tenure_days,txn_per_30days,Company_Name,Company_Profit,Company_Profit_Log,City,Top_Product
27,17,180.0,10.588235294117647,25342367.015708834,1490727.4715122844,13,2024-10-27,2021-03-25,1,1313,0.38842345773038844,Elite Corp 27,45064.0,10.715861170990511,Pasig,MarketMinder Analytics
28,19,239.0,12.578947368421053,32932341.197389845,1733281.1156520972,12,2024-10-24,2020-12-12,4,1416,0.4025423728813559,,,,,MarketMinder Analytics
29,17,184.0,10.823529411764707,24521629.183530223,1442448.775501778,13,2024-06-16,2020-11-01,134,1457,0.35003431708991073,Sky  Industries  29,61952.0,11.034131312034901,makati,RealTime Revenue
30,20,239.0,11.95,32219175.01616308,1610958.750808154,12,2024-10-14,2020-11-05,14,1453,0.41293874741913283,Quantum Holdings 30,35620.0,10.480690630565247,Pasig,RevenueVue Dashboard
31,13,136.0,10.461538461538462,19373935.178481936,1490302.706037072,10,2024-03-01,2020-11-05,241,1453,0.26841018582243636,Sky Consulting 31,74258.0,11.215314261440563,Mandaluyong,Product 9
32,17,209.0,12.294117647058824,30270713.07152321,1780630.1806778358,12,2024-08-25,2020-12-16,64,1412,0.3611898016997167,Prime  Consulting  32,34470.0,10.44787366982408,quezon city,RealTime Revenue
33,19,196.0,10.31578947368421,25596870.061979406,1347203.6874726003,11,2024-10-27,2020-11-30,1,1428,0.3991596638655462,Green  Consulting  33,52003.0,10.859075917682059,mandaluyong,RevenueVue Dashboard
34,15,135.0,9.0,16171554.47516514,1078103.631677676,11,2024-10-08,2020-11-12,20,1446,0.3112033195020747,Pioneer Corp 34,57571.0,10.960791617382561,makati,OptiFlow Automation
35,18,183.0,10.166666666666666,24540037.420827445,1363335.4122681913,11,2024-09-19,2020-11-17,39,1441,0.3747397640527412,Tech  Network  35,54668.0,10.909052100154165,Davao City,DataBridge Integration Tool
36,14,160.0,11.428571428571429,20004615.330551628,1428901.095039402,9,2024-08-26,2020-11-23,63,1435,0.2926829268292683,,,,,SegmentX Targeting
37,9,79.0,8.777777777777779,11542230.073527614,1282470.0081697349,7,2024-09-21,2021-08-23,37,1162,0.23235800344234078,Prime Holdings 37,62046.0,11.03564744135758,Mandaluyong,RealTime Revenue
38,18,124.0,6.888888888888889,14793143.496944925,821841.3053858292,13,2024-08-03,2021-01-10,86,1387,0.3893294881038212,Sky Network 38,100977.0,11.522657950314608,Makati,TrendWise Forecaster
39,19,196.0,10.31578947368421,28431456.78535521,1496392.4623871164,12,2024-09-25,2021-02-21,33,1345,0.42379182156133827,Prime  Consulting  39,107255.0,11.582973779281398,Davao City,MarketMinder Analytics
40,19,201.0,10.578947368421053,29912526.041407906,1574343.475863574,12,2024-06-30,2021-01-25,120,1372,0.41545189504373176,,,,,RevenueVue Dashboard
41,21,235.0,11.19047619047619,32961274.966746565,1569584.522226027,12,2024-10-09,2020-11-12,19,1446,0.4356846473029045,Sky Partners 41,74653.0,11.220619384920948,Pasig,DashSync Analytics Hub
42,17,171.0,10.058823529411764,17650037.574658543,1038237.504391679,9,2024-07-15,2021-03-14,105,1324,0.3851963746223565,Sky  Holdings  42,52233.0,10.863488902836416,Baguio,Product 9
43,19,225.0,11.842105263157896,29408555.430350926,1547818.7068605751,13,2024-10-12,2020-12-14,16,1414,0.4031117397454031,Quantum Network 43,113336.0,11.638120960342066,Cebu City,DashSync Analytics Hub
44,16,201.0,12.5625,25445293.45655221,1590330.8410345132,11,2024-07-29,2021-03-07,91,1331,0.3606311044327573,Tech  Solutions  44,74653.0,11.220619384920948,cebu city,SegmentX Targeting
45,22,212.0,9.636363636363637,28562811.69689745,1298309.6225862477,15,2024-08-29,2021-01-07,60,1390,0.4748201438848921,Prime Industries 45,99726.0,11.510191731724172,Mandaluyong,Product 9
46,15,177.0,11.8,21121863.380105287,1408124.2253403524,11,2024-10-20,2020-11-28,8,1430,0.3146853146853147,Dynamic Ventures 46,93219.0,11.442717569926732,Pasig,BudgetMaster Pro
47,7,88.0,12.571428571428571,9508800.0,1358400.0,6,2024-01-04,2021-04-30,298,1277,0.16444792482380577,Green  Industries  47,31130.0,10.345959386273389,Mandaluyong,EcoNomix Modeler
48,17,186.0,10.941176470588236,20396389.143200472,1199787.5966588513,11,2024-10-20,2020-11-25,8,1433,0.3558967201674808,Global  Corp  48,74653.0,11.220619384920948,cebu city,SalesSync Optimizer
49,30,348.0,11.6,47937819.693971,1597927.3231323666,16,2024-10-11,2021-01-30,17,1367,0.6583760058522311,Tech Holdings 49,115517.0,11.65718164095739,quezon city,Product 9
50,25,274.0,10.96,40533031.173237965,1621321.2469295186,15,2024-06-15,2020-11-10,135,1448,0.5179558011049724,Sky Associates 50,32118.0,10.377203034325737,Baguio,ForecastXcelerator 
51,20,228.0,11.4,29525671.960600458,1476283.5980300228,10,2024-10-13,2020-11-12,15,1446,0.41493775933609955,Global  Holdings  51,30663.0,10.33084460706039,Cebu City,CustomerScope Insights
52,14,142.0,10.142857142857142,18445971.001199484,1317569.3572285345,11,2024-05-20,2020-11-16,161,1442,0.2912621359223301,,,,,DataBridge Integration Tool
53,18,255.0,14.166666666666666,33365915.760762416,1962700.9271036715,12,2024-08-08,2021-02-20,81,1346,0.4011887072808321,Global Partners 53,74653.0,11.220619384920948,Manila,RevenueVue Dashboard
54,10,56.0,5.6,7778274.069149854,777827.4069149854,9,2024-06-30,2020-11-22,120,1436,0.20891364902506965,Innovative Network 54,111271.0,11.619732933286967,Quezon City,RealTime Revenue
55,12,81.0,6.75,10100648.889420034,841720.7407850028,9,2024-08-26,2021-01-07,63,1390,0.2589928057553957,Innovative Holdings 55,49158.0,10.802815221731821,taguig,SalesSync Optimizer
56,19,194.0,10.210526315789474,26074262.738384712,1372329.6178097217,13,2024-09-28,2020-12-16,30,1412,0.4036827195467422,Pioneer  Ent.s  56,61087.0,11.020070726525475,Taguig,MarketMinder Analytics
57,16,134.0,8.375,18124420.976786375,1132776.3110491484,11,2024-05-20,2020-11-21,161,1437,0.33402922755741127,Pioneer Corp 57,118114.0,11.679414005127859,parañaque,RevenueVue Dashboard
58,10,92.0,9.2,10968820.619652655,1096882.0619652655,8,2024-10-11,2020-11-14,17,1444,0.20775623268698062,Tech Ventures 58,83121.0,11.328064687081323,Pasig,InsightMax Insights Platform
59,9,69.0,7.666666666666667,6525397.118849343,815674.6398561678,8,2024-05-09,2021-01-07,172,1390,0.19424460431654675,Elite  Associates  59,49874.0,10.817275154192165,Davao City,InsightMax Insights Platform
60,15,170.0,11.333333333333334,19246321.122915618,1283088.0748610413,11,2024-07-27,2021-01-28,93,1369,0.3287070854638422,Global Ventures 60,113443.0,11.639064602075191,parañaque,SalesSync Optimizer
61,21,229.0,10.904761904761905,30311320.11173189,1443396.1957967568,13,2024-09-05,2020-12-01,53,1427,0.4414856341976173,Global Solutions 61,70821.0,11.167924965877134,Pasig,MarketMinder Analytics
62,26,301.0,11.576923076923077,36130464.82597264,1389633.262537409,15,2023-12-24,2020-11-24,309,1434,0.5439330543933055,Quantum Solutions 62,90582.0,11.41402183645577,Baguio,SegmentX Targeting
63,25,277.0,11.08,32011703.081125554,1280468.1232450223,15,2024-06-23,2020-12-09,127,1419,0.5285412262156448,Tech Corp 63,52787.0,10.87403917113672,pasig,Product 9
64,15,132.0,8.8,18656059.74926736,1243737.316617824,11,2024-08-19,2020-11-12,70,1446,0.3112033195020747,Sky Consulting 64,94703.0,11.458511516930507,Mandaluyong,DashSync Analytics Hub
65,22,270.0,12.272727272727273,39618093.55902835,1800822.4345012887,16,2024-09-29,2020-12-17,29,1411,0.4677533664068037,Tech Associates 65,51705.0,10.853329107921365,parañaque,RealTime Revenue
66,13,164.0,12.615384615384615,24110114.521833666,1854624.1939872052,9,2024-05-09,2021-01-06,172,1391,0.2803738317757009,Sky Ent.s 66,99381.0,11.506726289727407,Parañaque,DataBridge Integration Tool
67,28,210.0,7.5,31090618.906668987,1110379.2466667495,15,2024-10-02,2020-10-31,26,1458,0.5761316872427983,Quantum Associates 67,74653.0,11.220619384920948,Manila,RevenueVue Dashboard
68,19,206.0,10.842105263157896,28455278.602056973,1497646.2422135249,12,2024-08-17,2021-01-10,72,1387,0.410958904109589,Innovative  Solutions  68,112018.0,11.626423778746652,taguig,OptiFlow Automation
69,17,193.0,11.352941176470589,26430810.845433384,1554753.5791431402,13,2024-08-09,2020-11-24,80,1434,0.3556485355648536,Global Solutions 69,116217.0,11.663223016738984,Quezon City,OptiFlow Automation
70,20,224.0,11.2,28586122.273321822,1504532.7512274643,12,2024-07-13,2020-12-16,107,1412,0.4249291784702549,Prime Network 70,62252.0,11.038962005936805,Baguio,NexGen Segmentator
71,20,229.0,11.45,29835726.986042194,1570301.4203180103,11,2024-07-21,2021-01-27,99,1370,0.43795620437956206,Prime Associates 71,103332.0,11.545712061981565,Parañaque,EcoNomix Modeler
72,12,163.0,13.583333333333334,26687248.4966658,2223937.37472215,9,2024-03-26,2020-11-29,216,1429,0.25192442267319803,Global Corp 72,102799.0,11.540540632003202,Cebu City,MarketMinder Analytics
73,18,168.0,9.333333333333334,23960796.853063677,1331155.3807257598,13,2024-08-21,2020-10-30,68,1459,0.3701165181631254,Dynamic  Ventures  73,92185.0,11.431563554197458,Cebu City,InsightMax Insights Platform
74,12,164.0,13.666666666666666,17461588.79762187,1455132.3998018224,8,2024-06-02,2021-03-27,148,1311,0.2745995423340961,,,,,TrendWise Forecaster
75,24,259.0,10.791666666666666,34296134.51509362,1429005.6047955675,13,2024-10-14,2020-11-28,14,1430,0.5034965034965035,Green Industries 75,71538.0,11.177998034521295,parañaque,SalesSync Optimizer
76,18,208.0,11.555555555555555,31408030.414872166,1744890.5786040092,13,2024-10-15,2021-04-20,13,1287,0.4195804195804196,Tech Ventures 76,74653.0,11.220619384920948,Cebu City,FinSphere Intelligence Suite
77,20,186.0,9.3,28162482.317640156,1408124.1158820079,11,2024-10-24,2020-10-30,4,1459,0.41124057573680606,Prime Consulting 77,110398.0,11.611856354813094,Manila,RevenueVue Dashboard
78,21,228.0,10.857142857142858,31107302.605927363,1481300.124091779,13,2024-04-23,2021-01-03,188,1394,0.45193687230989954,Innovative Partners 78,71232.0,11.173711473170998,Pasig,CustomerScope Insights
79,14,140.0,10.0,18677996.339591034,1334142.5956850739,9,2024-09-28,2021-06-25,30,1221,0.34398034398034394,Sky Ventures 79,83106.0,11.327884213156308,Parañaque,EcoNomix Modeler
80,26,294.0,11.307692307692308,39106068.42173938,1504079.5546822837,17,2024-02-08,2021-01-01,263,1396,0.5587392550143266,Green  Partners  80,111227.0,11.619337427663833,Manila,FinPredictor Suite
81,22,248.0,11.272727272727273,35086923.9391301,1594860.179051368,14,2024-09-21,2020-11-04,37,1454,0.4539202200825309,Elite Enterprises 81,83079.0,11.327559277990048,Taguig,RealTime Revenue
82,17,183.0,10.764705882352942,25093541.264134906,1476090.662596171,10,2024-09-19,2021-01-22,39,1375,0.3709090909090909,Prime Industries 82,55028.0,10.91561559798246,Pasig,RealTime Revenue
83,18,206.0,11.444444444444445,29047200.0,1613733.3333333333,12,2024-08-13,2021-03-17,76,1321,0.408781226343679,Tech  Enterprises  83,72135.0,11.186308505179742,Baguio,FinSphere Intelligence Suite
84,18,219.0,12.166666666666666,30385382.613865077,1688076.8118813932,11,2024-08-15,2021-04-06,74,1301,0.415065334358186,Green  Solutions  84,74653.0,11.220619384920948,Taguig,MarketMinder Analytics
85,23,247.0,10.73913043478261,36190427.18883894,1573496.834297345,13,2024-01-30,2020-11-24,272,1434,0.48117154811715485,Green Ventures 85,113470.0,11.63930257664829,Cebu City,FinPredictor Suite
86,23,254.0,11.043478260869565,32262449.753649432,1402715.20668041,12,2024-04-14,2021-02-09,197,1357,0.5084745762711864,Pioneer Solutions 86,50910.0,10.837834289209853,Baguio,CustomerScope Insights
87,24,254.0,10.583333333333334,35901071.67147319,1495877.9863113828,12,2024-10-23,2021-01-23,5,1374,0.5240174672489083,Tech  Ventures  87,37141.0,10.522503683752998,Quezon City,OptiFlow Automation
88,15,174.0,11.6,26417545.942166593,1761169.729477773,12,2024-09-11,2020-12-30,47,1398,0.3218884120171674,Elite Consulting 88,75950.0,11.237843674494187,Taguig,FinSphere Intelligence Suite
89,18,200.0,11.11111111111111,27087644.7152625,1504869.1508479165,13,2024-09-09,2020-11-04,49,1454,0.3713892709766162,Global Solutions 89,74653.0,11.220619384920948,taguig,BudgetMaster Pro
90,17,150.0,8.823529411764707,22218139.696709946,1306949.3939241145,11,2024-05-27,2021-01-22,154,1375,0.3709090909090909,Prime Holdings 90,46225.0,10.741297689336635,Parañaque,Product 9
91,21,201.0,9.571428571428571,26670116.955092866,1333505.8477546433,15,2024-08-10,2021-03-20,79,1318,0.4779969650986343,Tech Industries 91,117123.0,11.670988481617403,Mandaluyong,DashSync Analytics Hub
92,19,216.0,11.368421052631579,30671901.796439175,1614310.6208652197,12,2024-07-05,2020-11-04,115,1454,0.3920220082530949,Innovative  Corp  92,62959.0,11.050254883091284,baguio,TrendWise Forecaster
93,15,186.0,12.4,22568461.952947672,1504564.1301965115,9,2024-06-08,2021-02-23,142,1343,0.33507073715562175,Innovative Holdings 93,79192.0,11.279643190058051,Davao City,EcoNomix Modeler
94,19,226.0,11.894736842105264,31445842.843600176,1655044.360189483,12,2024-06-22,2020-12-12,128,1416,0.4025423728813559,Pioneer Associates 94,109711.0,11.605614029524146,Cebu City,TrendWise Forecaster
95,17,143.0,8.411764705882353,18803070.941948462,1106062.9965852036,11,2024-08-03,2021-02-15,86,1351,0.37749814951887495,Green Network 95,40051.0,10.597933888827693,Pasig,RevenueVue Dashboard
96,21,222.0,10.571428571428571,28894234.135220386,1375915.9112009709,16,2024-09-04,2020-11-16,54,1442,0.4368932038834951,Dynamic  Network  96,101428.0,11.527114325305371,Cebu City,TrendWise Forecaster
97,11,135.0,12.272727272727273,19089498.807672683,1735408.9825156985,9,2024-09-11,2021-05-17,47,1260,0.2619047619047619,Quantum Holdings 97,33449.0,10.417807065556374,Manila,RealTime Revenue
98,18,176.0,9.777777777777779,23544205.93483387,1308011.4408241038,12,2024-09-16,2020-11-05,42,1453,0.3716448726772196,Pioneer Ventures 98,71095.0,11.17178635541831,Taguig,ForecastXcelerator 
99,15,174.0,11.6,19844015.282452308,1322934.352163487,9,2024-09-27,2021-04-26,31,1281,0.351288056206089,,,,,CustomerScope Insights
100,18,194.0,10.777777777777779,24963972.51043186,1386887.3616906588,12,2024-10-16,2021-01-20,12,1377,0.39215686274509803,Global Solutions 100,74653.0,11.220619384920948,taguig,BudgetMaster Pro
